,FundCode,类型
1355,2120,混合型
1356,2121,股票型
1357,2123,混合型
1358,2124,混合型
1359,2125,混合型
1360,2132,混合型
1361,2133,混合型
1362,2135,混合型
1363,2136,混合型
1364,2137,混合型
1365,2138,债券型
1366,2139,债券型
1367,2140,债券型
1368,2141,混合型
1369,2142,混合型
1370,2144,混合型
1371,2145,混合型
1372,2146,混合型
1373,2147,混合型
1374,2148,混合型
1375,2149,混合型
1376,2152,混合型
1377,2155,混合型
1378,2156,混合型
1379,2157,混合型
1380,2158,混合型
1381,2159,混合型
1382,2160,混合型
1383,2161,混合型
1384,2162,混合型
1385,2163,混合型
1386,2164,混合型
1387,2165,混合型
1388,2166,混合型
1389,2167,混合型
1390,2168,股票型
1391,2169,债券型
1392,2170,混合型
1393,2172,混合型
1394,2173,混合型
1395,2174,混合型
1396,2175,债券型
1397,2177,混合型
1398,2178,混合型
1399,2179,混合型
1400,2180,混合型
1401,2181,混合型
1402,2182,混合型
1403,2183,货币型
1404,2184,货币型
1405,2185,货币型
1406,2186,混合型
1407,2188,债券型
1408,2189,混合型
1409,2190,混合型
1410,2191,混合型
1411,2192,混合型
1412,2194,混合型
1413,2195,货币型
1414,2196,混合型
1415,2197,混合型
1416,2198,债券型
1417,2200,货币型
1418,2201,货币型
1419,2202,货币型
1420,2206,债券型
1421,2207,混合型
1422,2210,股票型
1423,2211,混合型
1424,2212,混合型
1425,2213,混合型
1426,2214,混合型
1427,2216,混合型
1428,2217,混合型
1429,2220,混合型
1430,2222,混合型
1431,2224,混合型
1432,2227,混合型
1433,2228,混合型
1434,2229,股票型
1435,2231,混合型
1436,2232,混合型
1437,2233,混合型
1438,2234,货币型
1439,2235,货币型
1440,2243,货币型
1441,2244,混合型
1442,2245,债券型
1443,2246,债券型
1444,2247,货币型
1445,2248,货币型
1446,2249,混合型
1447,2251,混合型
1448,2252,混合型
1449,2256,混合型
1450,2258,混合型
1451,2259,混合型
1452,2260,货币型
1453,2261,混合型
1454,2262,混合型
1455,2263,混合型
1456,2264,混合型
1457,2268,债券型
1458,2269,混合型
1459,2270,混合型
1460,2271,混合型
1461,2272,混合型
1462,2274,债券型
1463,2275,债券型
1464,2276,债券型
1465,2277,债券型
1466,2278,债券型
1467,2279,债券型
1468,2281,混合型
1469,2282,混合型
1470,2288,混合型
1471,2289,股票型
1472,2291,混合型
1473,2292,混合型
1474,2293,混合型
1475,2295,混合型
1476,2296,混合型
1477,2298,货币型
1478,2299,货币型
1479,2300,股票型
1480,2301,债券型
1481,2302,货币型
1482,2303,混合型
1483,2305,混合型
1484,2307,混合型
1485,2313,混合型
1486,2314,混合型
1487,2317,混合型
1488,2318,货币型
1489,2319,混合型
1490,2322,混合型
1491,2323,混合型
1492,2324,货币型
1493,2325,货币型
1494,2326,混合型
1495,2328,混合型
1496,2330,混合型
1497,2331,混合型
1498,2332,股票型
1499,2333,股票型
1500,2334,股票型
1501,2335,股票型
1502,2336,债券型
1503,2337,债券型
1504,2338,混合型
1505,2339,混合型
1506,2340,混合型
1507,2341,债券型
1508,2342,债券型
1509,2344,债券型
1510,2345,混合型
1511,2350,混合型
1512,2351,债券型
1513,2354,债券型
1514,2355,债券型
1515,2358,混合型
1516,2360,混合型
1517,2361,债券型
1518,2362,债券型
1519,2363,混合型
1520,2364,混合型
1521,2367,混合型
1522,2376,混合型
1523,2377,债券型
1524,2378,混合型
1525,2381,债券型
1526,2382,债券型
1527,2383,混合型
1528,2384,混合型
1529,2387,股票型
1530,2388,混合型
1531,2389,混合型
1532,2390,混合型
1533,2397,债券型
1534,2398,混合型
1535,2399,混合型
1536,2404,债券型
1537,2405,债券型
1538,2406,债券型
1539,2407,混合型
1540,2408,混合型
1541,2409,混合型
1542,2410,混合型
1543,2411,混合型
1544,2412,债券型
1545,2413,混合型
1546,2414,混合型
1547,2415,混合型
1548,2416,混合型
1549,2417,混合型
1550,2418,混合型
1551,2419,混合型
1552,2420,混合型
