,FundCode,Sim1,name,type,Sim2
6391,70006,JSFWZZHYHH,嘉实服务增值行业混合,混合型,JIASHIFUWUZENGZHIHANGYEHUNHE
6392,70008,JSHBA,嘉实货币A,货币型,JIASHIHUOBIA
6393,70009,JSCDZZQ,嘉实超短债债券,债券型,JIASHICHAODUANZHAIZHAIQUAN
6394,70010,JSZTHH,嘉实主题混合,混合型,JIASHIZHUTIHUNHE
6395,70011,JSCLHH,嘉实策略混合,混合型,JIASHICELUEHUNHE
6396,70012,JSHWZGGPHH,嘉实海外中国股票混合,QDII,JIASHIHAIWAIZHONGGUOGUPIAOHUNHE
6397,70013,JSYJJXHHA,嘉实研究精选混合A,混合型,JIASHIYANJIUJINGXUANHUNHEA
6398,70015,JSDYZQA,嘉实多元债券A,债券型,JIASHIDUOYUANZHAIQUANA
6399,70016,JSDYZQB,嘉实多元债券B,债券型,JIASHIDUOYUANZHAIQUANB
6400,70017,JSLHAEFHH,嘉实量化阿尔法混合,混合型,JIASHILIANGHUAAERFAHUNHE
6401,70018,JSHBHH,嘉实回报混合,混合型,JIASHIHUIBAOHUNHE
6402,70019,JSJZYSHH,嘉实价值优势混合,混合型,JIASHIJIAZHIYOUSHIHUNHE
6403,70020,JSWGSYZQ,嘉实稳固收益债券,债券型,JIASHIWENGUSHOUYIZHAIQUAN
6404,70021,JSZTXDLHH,嘉实主题新动力混合,混合型,JIASHIZHUTIXINDONGLIHUNHE
6405,70022,JSLXCZHH,嘉实领先成长混合,混合型,JIASHILINGXIANCHENGZHANGHUNHE
6406,70023,JSSZJBM120LJA,嘉实深证基本面120联接A,联接基金,JIASHISHENZHENGJIBENMIAN120LIANJIEA
6407,70025,JSXYZQA,嘉实信用债券A,债券型,JIASHIXINYONGZHAIQUANA
6408,70026,JSXYZQC,嘉实信用债券C,债券型,JIASHIXINYONGZHAIQUANC
6409,70027,JSZQYXHH,嘉实周期优选混合,混合型,JIASHIZHOUQIYOUXUANHUNHE
6410,70028,JSAXHBA,嘉实安心货币A,货币型,JIASHIANXINHUOBIA
6411,70029,JSAXHBB,嘉实安心货币B,货币型,JIASHIANXINHUOBIB
6412,70030,JSZC400ETFLJA,嘉实中创400ETF联接A,联接基金,JIASHIZHONGCHUANG400ETFLIANJIEA
6413,70031,JSQQFDCQDII,嘉实全球房地产(QDII),QDII,JIASHIQUANQIUFANGDICHANQDII
6414,70032,JSYHHLHH,嘉实优化红利混合,混合型,JIASHIYOUHUAHONGLIHUNHE
6415,70035,JSLCB7TZQA,嘉实理财宝7天债券A,理财型,JIASHILICAIBAO7TIANZHAIQUANA
6416,70036,JSLCB7TZQB,嘉实理财宝7天债券B,理财型,JIASHILICAIBAO7TIANZHAIQUANB
6417,70037,JSCZZQA,嘉实纯债债券A,债券型,JIASHICHUNZHAIZHAIQUANA
6418,70038,JSCZZQC,嘉实纯债债券C,债券型,JIASHICHUNZHAIZHAIQUANC
6419,70039,JSZZ500ETFLJC,嘉实中证500ETF联接C,联接基金,JIASHIZHONGZHENG500ETFLIANJIEC
6420,70088,JSHBB,嘉实货币B,货币型,JIASHIHUOBIB
6421,70099,JSYZQYHH,嘉实优质企业混合,混合型,JIASHIYOUZHIQIYEHUNHE
6422,80001,CSCZJZHH,长盛成长价值混合,混合型,CHANGSHENGCHENGZHANGJIAZHIHUNHE
6423,80002,CSCXXFHH,长盛创新先锋混合,混合型,CHANGSHENGCHUANGXINXIANFENGHUNHE
6424,80003,CSJJPZZQ,长盛积极配置债券,债券型,CHANGSHENGJIJIPEIZHIZHAIQUAN
6425,80005,CSLHHLHH,长盛量化红利混合,混合型,CHANGSHENGLIANGHUAHONGLIHUNHE
6426,80006,CSHQHYHHQDII,长盛环球行业混合(QDII),QDII,CHANGSHENGHUANQIUHANGYEHUNHEQDII
6427,80007,CSTXHYPZHH,长盛同鑫行业配置混合,混合型,CHANGSHENGTONGXINHANGYEPEIZHIHUNHE
6428,80008,CSZLXXCYHHA,长盛战略新兴产业混合A,混合型,CHANGSHENGZHANLUEXINXINGCHANYEHUNHEA
6429,80011,CSHBA,长盛货币A,货币型,CHANGSHENGHUOBIA
6430,80012,CSDZXXCYHH,长盛电子信息产业混合,混合型,CHANGSHENGDIANZIXINXICHANYEHUNHE
6431,80015,CSZXPJXHH,长盛中小盘精选混合,混合型,CHANGSHENGZHONGXIAOPANJINGXUANHUNHE
6432,90001,DCJZZZHH,大成价值增长混合,混合型,DACHENGJIAZHIZENGZHANGHUNHE
