,Unnamed: 0,FundCode,Sim1,name,type,Sim2
238,252,328,STMGZXDLLHPZHH,上投摩根转型动力灵活配置混合,混合型,SHANGTOUMOGENZHUANXINGDONGLILINGHUOPEIZHIHUNHE
240,254,330,HTFXJBHB,汇添富现金宝货币,货币型,HUITIANFUXIANJINBAOHUOBI
241,255,331,ZJHBA,中加货币A,货币型,ZHONGJIAHUOBIA
242,256,332,ZJHBC,中加货币C,货币型,ZHONGJIAHUOBIC
243,257,333,CCWGSYZQA,长城稳固收益债券A,债券型,CHANGCHENGWENGUSHOUYIZHAIQUANA
244,258,334,CCWGSYZQC,长城稳固收益债券C,债券型,CHANGCHENGWENGUSHOUYIZHAIQUANC
246,260,336,NYYJJXHH,农银研究精选混合,混合型,NONGYINYANJIUJINGXUANHUNHE
247,261,338,PHSZBLZQ,鹏华双债保利债券,债券型,PENGHUASHUANGZHAIBAOLIZHAIQUAN
248,262,339,CCYLBJHH,长城医疗保健混合,混合型,CHANGCHENGYILIAOBAOJIANHUNHE
251,265,343,HXCFBHBA,华夏财富宝货币A,货币型,HUAXIACAIFUBAOHUOBIA
256,271,354,CSCZHZTHH,长盛城镇化主题混合,混合型,CHANGSHENGCHENGZHENHUAZHUTIHUNHE
257,272,355,NFFYXYZQZQA,南方丰元信用增强债券A,债券型,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANA
258,273,356,NFFYXYZQZQC,南方丰元信用增强债券C,债券型,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANC
259,274,359,YFDYLCHB,易方达易理财货币,货币型,YIFANGDAYILICAIHUOBI
262,277,362,GTJXJZYSHHA,国泰聚信价值优势混合A,混合型,GUOTAIJUXINJIAZHIYOUSHIHUNHEA
263,278,363,GTJXJZYSHHC,国泰聚信价值优势混合C,混合型,GUOTAIJUXINJIAZHIYOUSHIHUNHEC
264,279,366,HTFTFTHBA,汇添富添富通货币A,货币型,HUITIANFUTIANFUTONGHUOBIA
265,280,367,GTAKDQZFHHA,国泰安康定期支付混合A,混合型,GUOTAIANKANGDINGQIZHIFUHUNHEA
269,284,371,MSJYXJBHBA,民生加银现金宝货币A,货币型,MINSHENGJIAYINXIANJINBAOHUOBIA
273,288,377,STMGSZZLZQA,上投摩根双债增利债券A,债券型,SHANGTOUMOGENSHUANGZHAIZENGLIZHAIQUANA
274,289,378,STMGSZZLZQC,上投摩根双债增利债券C,债券型,SHANGTOUMOGENSHUANGZHAIZENGLIZHAIQUANC
275,290,379,PARZLHB,平安日增利货币,货币型,PINGANRIZENGLIHUOBI
276,291,380,JSCCJYHBA,景顺长城景益货币A,货币型,JINGSHUNCHANGCHENGJINGYIHUOBIA
