,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
2704,003713,混合型,1.75%,17.76%,--,中高风险,1.59亿元
2705,519777,债券型,0.34%,4.26%,--,中低风险,0.00亿元
2706,002326,混合型,3.66%,19.43%,20.68%,中高风险,0.01亿元
2707,002789,混合型,1.73%,15.53%,23.13%,中高风险,1.39亿元
2708,004247,债券型,0.77%,5.40%,--,中低风险,0.00亿元
2709,003105,混合型,0.43%,4.78%,255.72%,中高风险,0.38亿元
2710,003448,债券型,0.46%,5.03%,--,无,5.06亿元
2711,161727,混合型,1.94%,12.44%,9.97%,中高风险,1.30亿元
2712,002327,混合型,1.41%,21.29%,29.30%,无,0.08亿元
2713,003714,混合型,2.59%,21.68%,--,中高风险,0.00亿元
2714,001824,混合型,0.34%,8.46%,--,中高风险,0.03亿元
2715,001744,混合型,1.76%,5.47%,--,中高风险,1.91亿元
2716,501029,股票指数,-3.13%,-0.20%,--,高风险,23.61亿元
2717,519631,债券型,0.24%,3.10%,--,中低风险,11.95亿元
